,,height
3766,34013864,5.0
3766,33995263,2.5
3766,34006035,5.0
5000,43624073,2.5
3766,34006078,7.5
6660,13471752,5.0
6660,13471681,2.5
3766,34008532,2.5
5000,43627482,5.0
3766,34006780,7.5
3766,33997670,2.5
3766,33995569,2.5
3766,34014003,2.5
3766,34013688,2.5
3766,34003494,2.5
3766,34013537,2.5
3766,34012991,2.5
3766,34009360,2.5
3766,34001688,2.5
5000,43625075,2.5
5000,43624068,5.0
3766,33997726,2.5
3766,34004877,5.0
3766,34002368,2.5
6503,41585854,7.5
3766,33996696,2.5
3766,34001291,2.5
3766,34001491,2.5
5000,43627930,5.0
3766,34009230,2.5
3766,34003155,2.5
322,23851955,
5743,27500601,2.5
3766,34007129,5.0
3766,33997480,5.0
3766,34007897,5.0
4283,13833609,2.5
3766,34014584,2.5
3766,33995286,2.5
3766,34009536,5.0
3766,33998400,2.5
3766,33994693,2.5
3766,34003042,5.0
3766,34000031,2.5
3766,33994997,2.5
3766,34005963,
5000,43630227,5.0
5000,43623316,2.5
3766,34012605,2.5
5323,19736440,
3766,33997740,2.5
3766,34007216,2.5
5000,43630144,5.0
3766,33997163,2.5
3766,34005787,7.5
3766,34000499,2.5
6660,13472139,2.5
3766,33996850,2.5
3766,34008168,17.5
5000,43629045,2.5
3766,34010055,5.0
3766,34010116,2.5
3766,34012512,2.5
322,23851925,
3766,33995361,2.5
3766,34011920,2.5
3766,34005528,10.0
6958,27868742,2.5
3766,33998858,2.5
3766,34001943,2.5
322,23851671,
3766,34011451,2.5
3766,34012571,5.0
5000,43627488,5.0
5323,19736512,
3766,34010497,5.0
3766,34003728,2.5
3766,34010100,2.5
5000,43623637,5.0
5000,43624129,2.5
3766,34012689,2.5
3766,34007963,7.5
3766,34003545,2.5
3766,34005929,2.5
3766,34003078,2.5
3766,34008904,2.5
6503,41586135,7.5
3766,34014526,5.0
3766,34006479,7.5
3766,34004592,5.0
3766,34003074,2.5
3766,34011558,2.5
3766,34009345,2.5
3766,33999794,2.5
3766,34009580,2.5
3766,33998730,2.5
3766,34011416,2.5
5000,43623091,7.5
3766,33996022,2.5
3766,34001788,2.5
